Stat,Name,Number of dwellings,"Gross charges
NIS k",discount NIS K,discount percent,allocated collected NIS K,allocated collected percent,debit balance NIS K,debit balance percent
134,פסגת זאב מזרח (דרום - מערב) - רח' גיורא יוספטל,    895,"    5,863.2","  1,413.0",24,"  4,250.0",73,    200.2, 3
135,"פסגת זאב מזרח (צפון - מערב) - 
רח' חיים תורן, רח' ראובן ארזי, מתנ""ס","  1,180","    7,578.8","  1,999.8",26,"  5,320.9",70,    258.2, 3
136,"פסגת זאב מערב - רח' שמואל תמיר, 
רח' דוד ניב, גבעת בנימין, מרכז מסחרי","  1,309","    8,729.5","  2,349.3",27,"  6,051.2",69,    329.0, 4
411,רמת שלמה (מזרח) - רח' חזון איש,"  1,475","    9,873.7","  2,920.7",30,"  5,148.6",52,"  1,804.4",18
412,רמת שלמה (מרכז) - רח' קהילות יעקב,    840,"    6,413.0","  2,111.9",33,"  3,972.6",62,    328.5, 5
413,רמת שלמה (מערב),    714,"    7,231.8","  1,647.3",23,"  5,008.1",69,    576.5, 8
421,רמות אלון (מזרח) - רח' מורגנטאו ,"  1,659","   14,088.1","  3,506.2",25,"  9,252.3",66,"  1,329.6", 9
422,רמות אלון (צפון-מזרח) - רח' הדף היומי,    807,"    5,360.4","  1,629.3",30,"  3,494.8",65,    236.3, 4
423,רמות אלון (צפון-מזרח) - רח' סולם יעקב,    893,"    5,003.4","  1,776.7",36,"  2,907.3",58,    319.4, 6
424,"רמות אלון (מרכז) - רח' כיסופים, מרכז מסחרי",    636,"    3,550.7","  1,293.3",36,"  2,020.4",57,    237.1, 7
425,"רמות אלון - רמות פולין, קהילת אונגוואר","  1,106","    7,169.5","  2,658.3",37,"  3,853.9",54,    657.3, 9
426,רמות אלון (צפון-מערב) - בנימין מינץ,    809,"    5,838.2","  1,917.8",33,"  3,505.6",60,    414.9, 7
431,רמות אלון (מערב) - רח' ישראל זרחי,"  1,197","   15,919.6","  3,042.2",19," 11,944.1",75,    933.4, 6
432,"רמות אלון (מרכז) - רח' אברהם אידלזון, מתנ""ס","  1,198","    9,503.9","  2,885.1",30,"  5,599.3",59,"  1,019.6",11
433,רמות אלון דרום (מזרח) - רח' עלית הנוער,    733,"    5,889.3","  1,564.2",27,"  4,064.2",69,    260.9, 4
434,רמות אלון דרום (מרכז) - רח' אשכולי אהרון,    772,"    6,136.9","  1,797.7",29,"  4,033.6",66,    305.7, 5
435,רמות אלון (דרום) - דרך החורש,    633,"   10,175.6","  1,702.6",17,"  8,008.5",79,    464.5, 5
512,עזרת תורה,    782,"    5,855.3","  1,996.4",34,"  3,169.4",54,    689.4,12
513,שיכון חב''ד - רח' חנה,    879,"    5,781.0","  2,485.6",43,"  2,591.7",45,    703.8,12
514,"מחניים,  תל ארזה",    963,"    6,052.2","  1,901.3",31,"  3,175.4",53,    975.6,16
515,סנהדריה,"  1,201","    7,449.0","  2,610.0",35,"  4,060.4",55,    778.7,11
521,סנהדריה מורחבת,    873,"    8,178.4","  2,975.9",36,"  4,307.5",53,    895.0,11
522,רמת אשכול (מערב),"  1,298","   10,048.1","  2,644.3",26,"  5,465.7",54,"  1,938.1",19
523,"גבעת המבתר, רמת אשכול (מזרח)","  1,283","   11,471.4","  2,763.8",24,"  7,253.8",63,"  1,453.8",13
531,"מעלות דפנה (מזרח), קרית אריה, גבעת התחמושת","  1,041","    7,655.0","  2,717.6",36,"  3,715.2",49,"  1,222.2",16
532,"מעלות דפנה (מערב), שמואל הנביא (מזרח)",    734,"    3,075.8","  1,261.8",41,"  1,302.4",42,    511.6,17
533,"רח' ארזי הבירה, רח' שמריה",    707,"    4,324.3","  1,378.1",32,"  2,392.2",55,    553.9,13
541,"גבעת שפירא (צפון) - רח' בר כוכבא, צמרת הבירה ","  1,949","   14,509.7","  3,691.7",25,"  9,825.6",68,    992.4, 7
542,"גבעת שפירא (דרום) - רח' אצ""ל, מעונות אידלסון (הר הצופים) ",    781,"    5,622.8","  1,393.8",25,"  3,784.5",67,    444.5, 8
543,"הר הצופים - בי""ח הדסה, האוניברסיטה העברית, מעונות רזניק",     60,"    4,394.7","  3,087.0",70,"  1,177.0",27,    130.7, 3
811,"ממילא, כפר דוד - רח' יצחק קריב ",    206,"    2,369.4",    137.0, 6,"  1,949.8",82,    282.5,12
812,מורשה (מוסררה),"  1,022","    5,310.2","  1,459.9",28,"  3,076.8",58,    773.6,15
821,"מאה שערים, בתי אונגרין","  1,696","    6,347.2","  2,672.5",42,"  2,342.1",37,"  1,332.6",21
822,"בית ישראל החדשה,  בתי מילנר","  1,261","    4,879.7","  2,109.2",43,"  1,814.6",37,    955.8,20
823,בית ישראל הישנה - רח' לייב דיין,    727,"    1,629.8",    532.0,33,    690.5,42,    407.3,25
824,שכונת הבוכרים - רח' תלמודי אברהם,"  1,969","   10,187.9","  3,813.1",37,"  4,602.7",45,"  1,772.2",17
825,"גאולה, שערי פינה",    560,"    3,064.2","  1,119.6",37,"  1,202.7",39,    741.9,24
826,"כרם אברהם - רח' צפניה, רח' עמוס","  1,526","    7,821.0","  2,910.3",37,"  3,705.2",47,"  1,205.6",15
831,מתחם שנלר ,    193,"    1,212.2",    193.8,16,    819.8,68,    198.5,16
832,מקור ברוך (מערב) - רח' החשמונאים,"  1,063","    5,639.3","  1,769.8",31,"  3,149.0",56,    720.6,13
833,מחנה יהודה - רח' נבון,    544,"    2,620.0",    723.1,28,"  1,333.0",51,    563.8,22
834,מקור ברוך (מזרח) - רח' תחכמוני,    958,"    4,489.8","  1,466.3",33,"  2,292.8",51,    730.6,16
835,"אחווה,  יגיע כפיים - רח' הרב יעקב מאיר",    679,"    3,560.2","  1,270.5",36,"  1,491.9",42,    797.8,22
836,זכרון משה - רח' פינס,"  1,189","    6,389.8","  2,362.6",37,"  2,577.0",40,"  1,450.2",23
841,"רח' שטראוס, רח' החבצלת, רח' הרב קוק",    950,"    6,535.2","  1,329.6",20,"  3,942.3",60,"  1,263.3",19
842,"שכונת החבשים - רח' אתיופיה, רח' שאול אדלר ",    542,"    3,750.7",    575.3,15,"  2,313.2",62,    862.1,23
843,קריית העירייה (מגרש הרוסים) - רח' שלומציון המלכה,    419,"    2,218.5",    519.1,23,"  1,363.0",61,    336.5,15
846,גן העצמאות,    806,"    5,046.4",    835.9,17,"  3,500.8",69,    709.7,14
847,"רח' שמואל הנגיד, רח' בצלאל",    508,"    3,926.0",    720.4,18,"  2,841.1",72,    364.5, 9
848,"נחלת שבעה, חצר פיינגולד, ""המשולש"" - רח' בן יהודה, רח' המלך ג'ורג'","  1,264","    5,527.8","  1,035.5",19,"  3,479.6",63,"  1,012.7",18
851,"כנסת , בתי ברוידא, רח' הלבנון ",    303,"    1,226.0",    458.2,37,    611.7,50,    156.1,13
852,"אוהל משה, מזכרת משה",    553,"    1,711.7",    298.3,17,"  1,203.6",70,    209.9,12
853,"בית יעקב, מרכז כלל,
שוק מחנה יהודה","  1,341","    6,484.6","  1,057.8",16,"  4,424.6",68,"  1,002.2",16
854,"זכרון יוסף, שבת צדק, רח' הירקון",    900,"    2,839.4",    572.8,20,"  1,908.0",67,    358.6,13
855,"זכרון טוביה, נחלת ציון, רח' שילה",    979,"    3,306.9",    436.7,13,"  2,411.0",73,    459.2,14
856,נחלת אחים - רח' המדרגות,    506,"    1,673.8",    272.7,16,"  1,127.8",67,    273.3,16
857,נחלת אחים - רח' ציפורי,    597,"    3,183.3",    491.5,15,"  2,263.2",71,    428.7,14
858,"נחלת צדוק, שערי חסד",    399,"    4,126.2",    346.9, 8,"  3,307.4",80,    471.9,11
861,קרית וולפסון,    571,"    6,210.0",    995.2,16,"  4,575.3",74,    639.6,10
862,רחביה (צפון) - רח' אברבנאל,    743,"    6,052.2",    827.2,14,"  4,560.1",75,    664.9,11
863,"רחביה (דרום) - רח' בנימין מטודלה,
שד' בן מימון ","  1,769","   12,373.9","  2,081.5",17,"  9,178.4",74,"  1,113.9", 9
864,"קרית שמואל - רח' האר""י","  1,674","   11,104.5","  1,896.3",17,"  8,347.9",75,    860.2, 8
911,"קרית צאנז, קרית בעלזא (צפון) - רח' מנחם משיב",    939,"    7,482.8","  2,402.0",32,"  4,149.8",56,    931.0,12
912,קרית בעלזא (דרום) - רח' קדושת אהרון,"  1,542","   12,833.1","  3,313.9",26,"  7,262.6",57,"  2,256.7",18
913,"קרית מטרסדורף, אונסדורף (שבע קהילות) (צפון) - רח' פנים מאירות",    681,"    4,996.9","  1,711.2",34,"  2,711.5",54,    574.2,12
914,"רוממה, אזור התעשייה, עץ חיים, תחנה מרכזית","  2,731","   20,268.0","  4,741.2",23," 10,124.3",50,"  5,402.6",27
915,"קרית מטרסדורף (דרום),  רוממה עילית - רח' זכרון יעקב","  1,440","    8,110.5","  2,591.6",32,"  4,192.3",52,"  1,326.7",16
916,מי נפתוח (ליפתא),      2,        5.0,      0.0, 0,      1.7,33,      3.3,67
921,גבעת שאול (צפון) - רח' עזריאל,    827,"    4,800.7","  1,540.7",32,"  2,956.3",62,    303.7, 6
922,"גבעת שאול (מזרח) - בית היתומים דיסקין, רח' בעל השאילתות",    675,"    4,195.5","  1,578.6",38,"  2,350.5",56,    266.4, 6
923,גבעת שאול (מרכז) - רח' נג'ארה,"  1,505","    8,202.6","  2,040.5",25,"  5,254.3",64,    907.8,11
924,"אזור תעשייה גבעת שאול, הר המנוחות, כנפי נשרים, גבעת שאול ב'",     11,      265.9,    142.4,54,     43.3,16,     80.2,30
925,"מוצא תחתית, רמת מוצא",    232,"    2,772.4",    306.6,11,"  2,341.4",85,    124.3, 5
931,הר נוף (צפון-מערב) - רח' הרב דוד רוזנטל,    812,"    8,674.9","  2,108.0",24,"  5,974.3",69,    592.6, 7
932,"הר נוף (מרכז) - רח' מנחם מנדל משקלוב, כפר שאול","  1,226","   14,687.7","  3,746.1",26,"  9,568.7",65,"  1,372.9", 9
933,הר נוף (דרום-מזרח) - רח' חכם שמעון אגסי,    930,"   10,249.8","  2,523.3",25,"  7,158.9",70,    567.6, 6
934,הר נוף (דרום - מערב) - רח' אהרן בראנד,    587,"    6,172.0","  1,480.3",24,"  4,366.3",71,    325.5, 5
1011,יפה נוף - רח' הארזים,"  1,672","   12,281.7","  2,717.9",22,"  9,046.9",74,    516.8, 4
1012,רמת בית הכרם - רח' משה קול,"  1,918","   16,816.1","  4,424.1",26," 12,036.0",72,    356.0, 2
1013,"בית הכרם (דרום) - רח' הבנאי,
גבעת בית הכרם","  1,994","   16,081.2","  3,114.1",19," 12,533.7",78,    433.4, 3
1014,בית הכרם (צפון) - רח' בית הכרם,"  1,209","   10,291.5","  1,771.7",17,"  8,170.0",79,    349.7, 3
1015," קרית משה (דרום) - שד' המאירי, המקשר","  1,806","   12,115.7","  2,787.3",23,"  8,217.6",68,"  1,110.8", 9
1016,"קרית משה (מזרח) - רח' דגל ראובן, מוסד הרב קוק",    880,"    6,795.5","  2,207.8",33,"  4,065.4",60,    522.3, 8
1021,"קרית בן גוריון (קרית הממשלה) - דרך רופין, רח' יצחק רבין",    958,"    7,432.2","  1,231.8",17,"  5,224.0",70,    976.4,13
1022,"ניות, נווה גרנות, נווה שאנן, רח' יהושע ייבין",    759,"    7,186.0","  1,191.6",17,"  5,763.3",80,    231.1, 3
1023,"גבעת רם (צפון), קרית האוניברסיטה העברית",      8,       26.5,      2.0, 7,     21.2,80,      3.4,13
1024,"גבעת רם (דרום), קרית האוניברסיטה העברית",     20,      956.1,    741.1,78,    176.6,19,     38.4, 4
1031,בית וגן (מזרח) - רח' מיכלין,"  1,725","   18,854.9","  5,518.3",29," 11,865.0",63,"  1,471.5", 8
1032,"בית וגן (צפון - מזרח), 
מרכז רפואי שערי צדק",    970,"    7,938.5","  2,239.3",28,"  4,944.8",62,    754.5,10
1033,"הר הרצל, הר הזיכרון, יד ושם",      1,        7.8,      1.9,25,      5.8,75,                        -  ,                                -  
1034,"בית וגן (מרכז), רח' החיד""א","  1,315","    9,389.2","  3,452.9",37,"  5,239.8",56,    696.5, 7
1035,"בית וגן (מערב),  מורדות בית וגן,
רח' תורה ועבודה",    813,"    6,364.3","  2,134.3",34,"  3,743.0",59,    487.0, 8
1041,רמת דניה - רח' קובובי,    689,"    7,690.0","  1,339.1",17,"  6,038.9",79,    311.9, 4
1042,"רמת שרת (מערב) -
רח' הרב יוסף חיים שרים",    952,"    7,874.3","  1,678.2",21,"  5,754.8",73,    441.3, 6
1043,רמת שרת (מזרח) - רח' פרץ ברנשטיין,"  1,234","   14,847.6","  2,884.5",19," 10,938.7",74,"  1,024.4", 7
1044,"מתחם הולילנד, רח' גדעון האוזנר, רח' מיכאל אבי-יונה",    863,"    9,799.1","  1,685.3",17,"  7,524.7",77,    589.1, 6
