city_code,name_heb,name_eng,stat_code,cluster_2019,cluster_2017,yishuv_stat
7900.0,פתח תקווה,PETAH TIQWA,432,5.0,5,79000432
7900.0,פתח תקווה,PETAH TIQWA,322,6.0,6,79000322
7900.0,פתח תקווה,PETAH TIQWA,431,6.0,6,79000431
7900.0,פתח תקווה,PETAH TIQWA,434,6.0,5,79000434
7900.0,פתח תקווה,PETAH TIQWA,112,6.0,6,79000112
7900.0,פתח תקווה,PETAH TIQWA,522,6.0,6,79000522
7900.0,פתח תקווה,PETAH TIQWA,423,6.0,6,79000423
7900.0,פתח תקווה,PETAH TIQWA,413,6.0,6,79000413
7900.0,פתח תקווה,PETAH TIQWA,323,6.0,7,79000323
7900.0,פתח תקווה,PETAH TIQWA,511,6.0,6,79000511
7900.0,פתח תקווה,PETAH TIQWA,321,6.0,6,79000321
7900.0,פתח תקווה,PETAH TIQWA,232,6.0,6,79000232
7900.0,פתח תקווה,PETAH TIQWA,231,7.0,7,79000231
7900.0,פתח תקווה,PETAH TIQWA,433,7.0,7,79000433
7900.0,פתח תקווה,PETAH TIQWA,521,7.0,7,79000521
7900.0,פתח תקווה,PETAH TIQWA,324,7.0,7,79000324
7900.0,פתח תקווה,PETAH TIQWA,424,7.0,7,79000424
7900.0,פתח תקווה,PETAH TIQWA,233,7.0,7,79000233
7900.0,פתח תקווה,PETAH TIQWA,514,7.0,7,79000514
7900.0,פתח תקווה,PETAH TIQWA,411,7.0,7,79000411
7900.0,פתח תקווה,PETAH TIQWA,222,7.0,8,79000222
7900.0,פתח תקווה,PETAH TIQWA,422,7.0,7,79000422
7900.0,פתח תקווה,PETAH TIQWA,113,7.0,8,79000113
7900.0,פתח תקווה,PETAH TIQWA,223,8.0,8,79000223
7900.0,פתח תקווה,PETAH TIQWA,516,8.0,8,79000516
7900.0,פתח תקווה,PETAH TIQWA,122,8.0,9,79000122
7900.0,פתח תקווה,PETAH TIQWA,221,8.0,9,79000221
7900.0,פתח תקווה,PETAH TIQWA,111,8.0,9,79000111
7900.0,פתח תקווה,PETAH TIQWA,121,9.0,9,79000121
7900.0,פתח תקווה,PETAH TIQWA,123,9.0,9,79000123
7900.0,פתח תקווה,PETAH TIQWA,212,9.0,9,79000212
7900.0,פתח תקווה,PETAH TIQWA,211,9.0,9,79000211
7900.0,פתח תקווה,PETAH TIQWA,213,9.0,9,79000213
7900.0,פתח תקווה,PETAH TIQWA,214,9.0,9,79000214
8300.0,ראשון לציון,RISHON LEZIYYON,511,3.0,3,83000511
8300.0,ראשון לציון,RISHON LEZIYYON,513,4.0,4,83000513
8300.0,ראשון לציון,RISHON LEZIYYON,512,4.0,4,83000512
8300.0,ראשון לציון,RISHON LEZIYYON,117,6.0,5,83000117
8300.0,ראשון לציון,RISHON LEZIYYON,116,6.0,6,83000116
8300.0,ראשון לציון,RISHON LEZIYYON,122,6.0,6,83000122
8300.0,ראשון לציון,RISHON LEZIYYON,121,6.0,6,83000121
8300.0,ראשון לציון,RISHON LEZIYYON,123,6.0,6,83000123
8300.0,ראשון לציון,RISHON LEZIYYON,115,6.0,6,83000115
8300.0,ראשון לציון,RISHON LEZIYYON,112,6.0,..,83000112
8300.0,ראשון לציון,RISHON LEZIYYON,213,6.0,6,83000213
8300.0,ראשון לציון,RISHON LEZIYYON,212,6.0,6,83000212
8300.0,ראשון לציון,RISHON LEZIYYON,211,6.0,6,83000211
8300.0,ראשון לציון,RISHON LEZIYYON,314,7.0,7,83000314
8300.0,ראשון לציון,RISHON LEZIYYON,221,7.0,7,83000221
8300.0,ראשון לציון,RISHON LEZIYYON,114,7.0,7,83000114
8300.0,ראשון לציון,RISHON LEZIYYON,124,7.0,7,83000124
8300.0,ראשון לציון,RISHON LEZIYYON,125,7.0,7,83000125
8300.0,ראשון לציון,RISHON LEZIYYON,425,7.0,7,83000425
8300.0,ראשון לציון,RISHON LEZIYYON,624,7.0,7,83000624
8300.0,ראשון לציון,RISHON LEZIYYON,222,7.0,7,83000222
8300.0,ראשון לציון,RISHON LEZIYYON,421,7.0,7,83000421
8300.0,ראשון לציון,RISHON LEZIYYON,312,7.0,7,83000312
8300.0,ראשון לציון,RISHON LEZIYYON,225,7.0,7,83000225
8300.0,ראשון לציון,RISHON LEZIYYON,126,7.0,7,83000126
8300.0,ראשון לציון,RISHON LEZIYYON,522,7.0,7,83000522
8300.0,ראשון לציון,RISHON LEZIYYON,313,7.0,7,83000313
8300.0,ראשון לציון,RISHON LEZIYYON,413,7.0,7,83000413
8300.0,ראשון לציון,RISHON LEZIYYON,224,7.0,7,83000224
8300.0,ראשון לציון,RISHON LEZIYYON,623,7.0,7,83000623
8300.0,ראשון לציון,RISHON LEZIYYON,422,7.0,7,83000422
8300.0,ראשון לציון,RISHON LEZIYYON,426,7.0,7,83000426
